iter	Passed	Remaining
0	3	650
1	6	598
2	8	583
3	11	579
4	14	571
5	17	564
6	20	558
7	23	553
8	25	550
9	29	551
10	31	549
11	34	543
12	37	539
13	40	534
14	42	530
15	45	526
16	48	522
17	51	518
18	54	521
19	58	522
20	60	519
21	63	515
22	66	511
23	69	511
24	72	509
25	75	506
26	78	503
27	81	499
28	84	496
29	87	495
30	90	492
31	93	490
32	96	489
33	99	488
34	102	485
35	105	481
36	108	477
37	111	473
38	114	473
39	117	471
40	121	470
41	124	467
42	127	464
43	130	462
44	134	462
45	136	458
46	139	455
47	142	452
48	145	448
49	148	444
50	151	441
51	154	438
52	157	436
53	160	433
54	163	430
55	165	426
56	169	426
57	173	423
58	175	420
59	178	417
60	181	414
61	185	413
62	189	411
63	192	408
64	195	405
65	198	403
66	201	400
67	204	396
68	207	393
69	210	390
70	213	387
71	216	384
72	219	381
73	221	377
74	224	374
75	228	372
76	230	368
77	233	365
78	236	362
79	240	360
80	243	357
81	245	353
82	248	350
83	251	347
84	256	346
85	258	343
86	261	339
87	264	336
88	267	334
89	271	331
90	274	328
91	277	325
92	280	322
93	283	319
94	286	316
95	289	313
96	292	310
97	295	307
98	299	305
99	301	301
100	304	298
101	307	295
102	310	292
103	314	289
104	316	286
105	319	283
106	322	280
107	325	277
108	328	274
109	331	271
110	334	268
111	337	264
112	340	262
113	343	259
114	346	255
115	349	252
116	351	249
117	354	246
118	357	243
119	360	240
120	363	237
121	366	234
122	369	231
123	372	228
124	375	225
125	378	222
126	381	219
127	384	216
128	387	213
129	390	210
130	393	207
131	395	203
132	398	200
133	401	197
134	403	194
135	406	191
136	409	188
137	412	185
138	415	182
139	418	179
140	421	176
141	425	173
142	428	170
143	432	168
144	435	165
145	439	162
146	442	159
147	446	156
148	450	154
149	454	151
150	457	148
151	460	145
152	463	142
153	466	139
154	469	136
155	471	133
156	474	129
157	477	126
158	480	123
159	483	120
160	485	117
161	488	114
162	491	111
163	494	108
164	497	105
165	499	102
166	502	99
167	505	96
168	508	93
169	511	90
170	514	87
171	517	84
172	519	81
173	523	78
174	525	75
175	529	72
176	532	69
177	535	66
178	538	63
179	541	60
180	544	57
181	546	54
182	549	51
183	552	48
184	554	44
185	557	41
186	560	38
187	562	35
188	565	32
189	568	29
190	570	26
191	573	23
192	576	20
193	579	17
194	581	14
195	584	11
196	586	8
197	589	5
198	592	2
199	594	0
